category,question,options,correct
Islamic History,What is the first month of the Islamic calendar as currently understood?,"Ramadan, Muharram, Thul Hijjah, Safar",Muharram
Islamic History,In whose reign was the current Islamic Calendar created?,"Abu Bakr, Umar, Uthmaan, Ali",Umar
Islamic History,"Who is the sahabi that made the dua O Allah, grant me shahadah in Your path, and allow my death to be in the city of Your Messenger?","Abu Bakr, Umar, Ubaydah Ibn Al Jarrah, Abu Tharr al Ghifaari",Umar
Islamic History,"When Jibreel would come to Muhammad in human form, which sahabi did he resemble?","Umar, Abu Bakr, Huthayfah Ibn al Yaman, Dihyah Al Kalbi",Dihyah Al Kalbi
Hadith,"According to the hadith Qudsi that starts man aadaa lee waliyyan, Which of the following is not a characteristic of the awliyaa of Allah","hearing with which he hears, sight with which he sees, leg with which he walks, mind with which he thinks",mind with which he thinks
Qur'an,Which of the following is not one of the 3 categories of people on the day of judgement mentioned in Surah al Waqi'ah?,"Assabiqoon as saabiqoon, ashaab al-maimanah, ashaab al-Mash'amah, Ashaab al-Jaheem",Ashaab al-jaheem
Qur'an,Who made the first translation of the Qur'an into a European Language,"Robert of Ketton, Geoge Sale, Abdullah Yusuf Ali, Mohammad Marmaduke Pickthall",Robert of Ketton
Modern Issues,What is Islam's stance on IVF treatment?,"Never permissible, Always permissible, permissible if and only if the sperm comes from the husband and the egg comes from the wife",permissible if and only if the sperm comes from the husband and the egg comes from the wife
Hadith,"In the hadith about three stages of embryonic development, which is not one of the stages mentioned","nutfah (drop), alaqah (clot), mudghah (morsel of flesh), ithaam (bones)",ithaam (bones)
Fiqh,Which of the following is not one of the 8 categories eligible for Zakat,"freeing captives, zakat administrators, those in debt, building mosques",building mosques
Fiqh,Which of the following is not one of the 3 types of hajj,"ifraad, qiran, tamattu, matmum",matmum
Fiqh,Which is the most preferred form of hajj,"ifraad, qiran, tamattu, matmum",tamattu
Hadith,"According to hadith, how many doors does Jannah have","1,3,7,8",8
Hadith,"According to hadith, what is required to enter through the door of Raiyan","praying, fasting, paying zakat, making thikr",fasting
Qur'an,"According to the Qur'an, how many doors does hell have","1,3,7,8",7
Qur'an,Which verse of the Qur'an tells us how many doors hell has,"15:44, 44:15, 4:15, 5:14",15:44
Qur'an,According to the Qur'an how many angels are guardians over hell?,"1,3,7,19",19
Qur'an,Which verse of the Qur'an tells us how many angels are guardians over hell?,"74:30, 34:70,30:74,47:3",74:30
Qur'an,Which of the following is not one of the women discussed at the end of S Tahrim,"the wife of Pharaoh, Mary, the wife of Lot, the wife of Noah, the wife of Abraham ",The wife of Abraham
Islamic History,What is the name of the cousin of Khadijah that was knowledgeable about scripture? ,"Waraqah ibn Nawfal, Khalid bin Khuwaylid, Thabit bin Qays, Ayyub ibn Hakeen",Waraqah ibn Nawfal
Modern Issues,What is Islam's position on cross dressing?,"Prohibited, Disliked, Permitted, Encouraged, Obligatory",Prohibited
Modern Issues,What is Islam's position on sculptures of living things?,"Prohibited, Disliked, Permitted, Encouraged, Obligatory",Prohibited
Theology,Who were the first major group to break away from mainstream islam?,"Khawarij, Mutazilis, Shia, Jahmiyyah",Khawarij
Theology,"In understanding evil, which of the following is not a form of Allah's will","Iraadah Shar'iyyah, Iraadah Kawniyyah, Iraadah Nafsiyyah",Iraadah Nafsiyyah
Fiqh,Are women with menses supposed to go to Eid prayer,"Yes, No, Yes but they do not participate in the prayer itself",Yes but they do not participate in the prayer itself
Islamic History,What is the name of the person who assassinated Umar?,"Dujanah Al Shami, Abu Luluah Al Majoosi, Layth al Saadi, Yamam bin Qays",Abu Luluah Al Majoosi
Qur'an,What is the verse that says Laa yamassahu illal mutahharoon?,"56:79, 59:76,57:69,5:69",56:79 
Qur'an ,Which is the verse that says that corruption has spread through the land as a result of people's actions?,"31:40, 3:140, 30:41, 30:14",30:41
